"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USW00014732","LAGUARDIA AIRPORT, NY US","40.77945","-73.88027","3.0","2022-01-01","11.6","H,,S","13.9",",,W","10.0",",,W"
"USW00014732","LAGUARDIA AIRPORT, NY US","40.77945","-73.88027","3.0","2022-01-02","11.4","H,,S","15.6",",,W","3.9",",,W"
"USW00014732","LAGUARDIA AIRPORT, NY US","40.77945","-73.88027","3.0","2022-01-03","1.4","H,,S","3.9",",,W","-4.3",",,W"
"USW00014732","LAGUARDIA AIRPORT, NY US","40.77945","-73.88027","3.0","2022-01-04","-2.7","H,,S","2.2",",,W","-6.0",",,W"
"USW00014732","LAGUARDIA AIRPORT, NY US","40.77945","-73.88027","3.0","2022-01-05","3.2","H,,S","8.9",",,W","0.0",",,W"
"USW00014732","LAGUARDIA AIRPORT, NY US","40.77945","-73.88027","3.0","2022-01-06","4.9","H,,S","6.1",",,W","2.2",",,W"
"USW00014732","LAGUARDIA AIRPORT, NY US","40.77945","-73.88027","3.0","2022-01-07","0.7","H,,S","2.2",",,W","-2.1",",,W"
"USW00014732","LAGUARDIA AIRPORT, NY US","40.77945","-73.88027","3.0","2022-01-08","-2.5","H,,S","0.0",",,W","-4.9",",,W"
"USW00014732","LAGUARDIA AIRPORT, NY US","40.77945","-73.88027","3.0","2022-01-09","1.4","H,,S","5.6",",,W","-1.0",",,W"
"USW00014732","LAGUARDIA AIRPORT, NY US","40.77945","-73.88027","3.0","2022-01-10","1.6","H,,S","5.6",",,W","-3.2",",,W"
"USW00014732","LAGUARDIA AIRPORT, NY US","40.77945","-73.88027","3.0","2022-01-11","-5.4","H,,S","-3.2",",,W","-8.2",",,W"
"USW00014732","LAGUARDIA AIRPORT, NY US","40.77945","-73.88027","3.0","2022-01-12","-1.9","H,,S","5.6",",,W","-6.6",",,W"
"USW00014732","LAGUARDIA AIRPORT, NY US","40.77945","-73.88027","3.0","2022-01-13","4.0","H,,S","7.8",",,W","0.6",",,W"
"USW00014732","LAGUARDIA AIRPORT, NY US","40.77945","-73.88027","3.0","2022-01-14","4.8","H,,S","6.1",",,W","-5.5",",,W"
"USW00014732","LAGUARDIA AIRPORT, NY US","40.77945","-73.88027","3.0","2022-01-15","-6.7","H,,S","-5.5",",,W","-10.5",",,W"
"USW00014732","LAGUARDIA AIRPORT, NY US","40.77945","-73.88027","3.0","2022-01-16","-8.0","H,,S","4.4",",,W","-12.1",",,W"
"USW00014732","LAGUARDIA AIRPORT, NY US","40.77945","-73.88027","3.0","2022-01-17","3.9","H,,S","7.8",",,W","1.7",",,W"
"USW00014732","LAGUARDIA AIRPORT, NY US","40.77945","-73.88027","3.0","2022-01-18","1.8","H,,S","3.3",",,W","-0.5",",,W"
"USW00014732","LAGUARDIA AIRPORT, NY US","40.77945","-73.88027","3.0","2022-01-19","3.2","H,,S","10.6",",,W","-1.6",",,W"
"USW00014732","LAGUARDIA AIRPORT, NY US","40.77945","-73.88027","3.0","2022-01-20","5.1","H,,S","8.3",",,W","-4.9",",,W"
"USW00014732","LAGUARDIA AIRPORT, NY US","40.77945","-73.88027","3.0","2022-01-21","-6.0","H,,S","-4.9",",,W","-9.3",",,W"
"USW00014732","LAGUARDIA AIRPORT, NY US","40.77945","-73.88027","3.0","2022-01-22","-5.9","H,,S","-1.0",",,W","-9.9",",,W"
"USW00014732","LAGUARDIA AIRPORT, NY US","40.77945","-73.88027","3.0","2022-01-23","-0.7","H,,S","3.3",",,W","-3.2",",,W"
"USW00014732","LAGUARDIA AIRPORT, NY US","40.77945","-73.88027","3.0","2022-01-24","-0.2","H,,S","3.3",",,W","-2.1",",,W"
"USW00014732","LAGUARDIA AIRPORT, NY US","40.77945","-73.88027","3.0","2022-01-25","3.6","H,,S","6.1",",,W","-1.0",",,W"
"USW00014732","LAGUARDIA AIRPORT, NY US","40.77945","-73.88027","3.0","2022-01-26","-2.3","H,,S","-1.0",",,W","-6.0",",,W"
"USW00014732","LAGUARDIA AIRPORT, NY US","40.77945","-73.88027","3.0","2022-01-27","-4.2","H,,S","0.0",",,W","-7.7",",,W"
"USW00014732","LAGUARDIA AIRPORT, NY US","40.77945","-73.88027","3.0","2022-01-28","0.1","H,,S","1.7",",,W","-1.0",",,W"
